Nom de la commune;Code département;Nom de la région;Population totale
Saint-Quentin;02;Hauts-de-France;55940
Saint-André;974;La Réunion;56088
Meaux;77;Île-de-France;56249
Le Blanc-Mesnil;93;Île-de-France;56346
Hyères;83;Provence-Alpes-Côte d'Azur;56799
La Roche-sur-Yon;85;Pays de la Loire;56991
Beauvais;60;Hauts-de-France;57548
Sarcelles;95;Île-de-France;58332
Lorient;56;Bretagne;58789
Clichy;92;Île-de-France;60746
Chambéry;73;Auvergne-Rhône-Alpes;60872
Cayenne;973;Guyane;60947
Niort;79;Nouvelle-Aquitaine;61044
Ivry-sur-Seine;94;Île-de-France;61099
Neuilly-sur-Seine;92;Île-de-France;61501
Montauban;82;Occitanie;61978
Troyes;10;Grand Est;61988
Pessac;33;Nouvelle-Aquitaine;62737
Antony;92;Île-de-France;62989
Villeneuve-d'Ascq;59;Hauts-de-France;63085
Levallois-Perret;92;Île-de-France;64028
Valence;26;Auvergne-Rhône-Alpes;64322
Cergy;95;Île-de-France;64451
La Seyne-sur-Mer;83;Provence-Alpes-Côte d'Azur;65386
Vénissieux;69;Auvergne-Rhône-Alpes;65822
Quimper;29;Bretagne;66743
Noisy-le-Grand;93;Île-de-France;67086
Bourges;18;Centre-Val de Loire;67841
Issy-les-Moulineaux;92;Île-de-France;69231
Ajaccio;2A;Corse;70063
Drancy;93;Île-de-France;70883
Mérignac;33;Nouvelle-Aquitaine;71203
Colmar;68;Grand Est;71445
Saint-Nazaire;44;Pays de la Loire;72295
Antibes;06;Provence-Alpes-Côte d'Azur;74982
Cannes;06;Provence-Alpes-Côte d'Azur;75046
Calais;62;Hauts-de-France;75719
Saint-Maur-des-Fossés;94;Île-de-France;75833
Champigny-sur-Marne;94;Île-de-France;77883
Béziers;34;Occitanie;77894
Le Tampon;974;La Réunion;78366
La Rochelle;17;Nouvelle-Aquitaine;78623
Pau;64;Nouvelle-Aquitaine;79022
Rueil-Malmaison;92;Île-de-France;79783
Fort-de-France;972;Martinique;82030
Courbevoie;92;Île-de-France;82351
Cherbourg-en-Cotentin;50;Normandie;82578
Lyon 7e Arrondissement;69;Auvergne-Rhône-Alpes;82651
Saint-Pierre;974;La Réunion;85059
Aulnay-sous-Bois;93;Île-de-France;85214
Lyon 8e Arrondissement;69;Auvergne-Rhône-Alpes;85610
Colombes;92;Île-de-France;86050
Aubervilliers;93;Île-de-France;86533
Asnières-sur-Seine;92;Île-de-France;86678
Versailles;78;Île-de-France;87315
Dunkerque;59;Hauts-de-France;89485
Créteil;94;Île-de-France;90052
Poitiers;86;Nouvelle-Aquitaine;90590
Vitry-sur-Seine;94;Île-de-France;93317
Avignon;84;Provence-Alpes-Côte d'Azur;94200
Nanterre;92;Île-de-France;96321
Roubaix;59;Hauts-de-France;96953
Tourcoing;59;Hauts-de-France;98170
Lyon 3e Arrondissement;69;Auvergne-Rhône-Alpes;103506
Saint-Paul;974;La Réunion;106920
Nancy;54;Grand Est;106953
Caen;14;Normandie;108461
Montreuil;93;Île-de-France;109235
Mulhouse;68;Grand Est;110468
Argenteuil;95;Île-de-France;112064
Saint-Denis;93;Île-de-France;112309
Rouen;76;Normandie;112596
Orléans;45;Centre-Val de Loire;118102
Metz;57;Grand Est;119856
Besançon;25;Bourgogne-Franche-Comté;120107
Boulogne-Billancourt;92;Île-de-France;120943
Perpignan;66;Occitanie;123602
Annecy;74;Auvergne-Rhône-Alpes;130257
Limoges;87;Nouvelle-Aquitaine;135140
Amiens;80;Hauts-de-France;136998
Tours;37;Centre-Val de Loire;139963
Brest;29;Bretagne;142629
Clermont-Ferrand;63;Auvergne-Rhône-Alpes;146112
Aix-en-Provence;13;Provence-Alpes-Côte d'Azur;146385
Le Mans;72;Pays de la Loire;146804
Saint-Denis;974;La Réunion;149337
Villeurbanne;69;Auvergne-Rhône-Alpes;150375
Nîmes;30;Occitanie;154196
Angers;49;Pays de la Loire;155543
Dijon;21;Bourgogne-Franche-Comté;159031
Grenoble;38;Auvergne-Rhône-Alpes;160836
Toulon;83;Provence-Alpes-Côte d'Azur;171643
Le Havre;76;Normandie;172769
Saint-Étienne;42;Auvergne-Rhône-Alpes;174298
Reims;51;Grand Est;187074
Rennes;35;Bretagne;222104
Lille;59;Hauts-de-France;236782
Bordeaux;33;Nouvelle-Aquitaine;256045
Strasbourg;67;Grand Est;283515
Montpellier;34;Occitanie;286098
Nantes;44;Pays de la Loire;314611
Nice;06;Provence-Alpes-Côte d'Azur;345998
Toulouse;31;Occitanie;482738
Marseille;13;Provence-Alpes-Côte d'Azur;870018
Paris;75;Île-de-France;2210875
